23:27:31:504	Stand-Bye is starting!
23:27:52:183	Got 'v0.5.2' as versionString from https://raw.githubusercontent.com/flobaader/Stand-Bye/download/version.txt
23:27:52:209	Got '052' as version number from 'v0.5.2'
23:27:52:235	Got '052' as version number from '0.5.2'
23:27:52:261	New Version is available == [False] 
23:27:52:287	Disabled Windows Standby!
23:27:57:972	Started opening SettingsForm
23:28:15:393	SettingsForm: OK Button Clicked
23:28:15:422	Retuned Settings-File-Path: C:\Users\Code\Desktop\Projekt\StandBye\StandBye\StandBye\Settings.ini
23:28:15:448	Written Setting ['WAIT_TIME'] with value ['300']
23:28:15:474	Written Setting ['LANGUAGE'] with value ['en']
23:28:15:5	Written Setting ['USE_CPU'] with value ['TRUE']
23:28:15:526	Written Setting ['MAX_CPU'] with value ['30']
23:28:15:552	Written Setting ['USE_RAM'] with value ['TRUE']
23:28:15:578	Written Setting ['MAX_RAM'] with value ['20']
23:28:15:604	Written Setting ['USE_HDD'] with value ['TRUE']
23:28:15:63	Written Setting ['MAX_HDD'] with value ['2000']
23:28:15:656	Written Setting ['USE_NET'] with value ['TRUE']
23:28:15:682	Written Setting ['MAX_NET'] with value ['12000']
23:28:15:72	Written Setting ['CHECK_SOUND'] with value ['TRUE']
23:28:15:746	Written Setting ['PROC_EXCP'] with value ['']
23:28:15:772	Written Setting ['SEARCH_UPDATES'] with value ['TRUE']
23:28:15:798	Written Setting ['SHOW_MESSAGES'] with value ['TRUE']
23:28:15:859	Stopped InputMonitor!
23:28:15:884	InputMonitor starting
23:28:15:93	Settingsform closing
